"0x2203 'IO\IO.M2.AI.BHS2.Val'"	"0x010D"	"IO.M2.AI.BHS2.Val"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"	"BHS2-T.hlad.akum.2 spodaj"
"0x2206 'IO\IO.M2.AO.YHG.Cmd'"	"0x010D"	"IO.M2.AO.YHG.Cmd"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"	"YHG-RV-hladilna greda"
"0x2203 'IO\IO.M3.AI.TJ11.Val'"	"0x010D"	"IO.M3.AI.TJ11.Val"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"	"TJ11-T.hlad.agregat predtok"
"0x2203 'IO\IO.M3.AI.TJ21.Val'"	"0x010D"	"IO.M3.AI.TJ21.Val"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"	"TJ21-T.hlad.agregat povratek"
"0x2204 'IO\IO.M3.Alm.HA1.Val'"	"0x010D"	"IO.M3.Alm.HA1.Val"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"	"HA1-Hlad.agregat motnja"
"0x2204 'IO\IO.M3.DI.HA1.Val'"	"0x010D"	"IO.M3.DI.HA1.Val"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"	"HA1-Hlad.agregat delovanje"
"0x2204 'IO\IO.M3.Alm.HA2.Val'"	"0x010D"	"IO.M3.Alm.HA2.Val"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"	"HA2-Hlad.agregat motnja"
"0x2204 'IO\IO.M3.DI.HA2.Val'"	"0x010D"	"IO.M3.DI.HA2.Val"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"	"HA2-Hlad.agregat delovanje"
"0x2207 'IO\IO.M3.DO.HA1.Cmd'"	"0x010D"	"IO.M3.DO.HA1.Cmd"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"	"HA1-Hlad.agregat 1 vklop"
"0x2207 'IO\IO.M3.DO.HA2.Cmd'"	"0x010D"	"IO.M3.DO.HA2.Cmd"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"	"HA2-Hlad.agregat 2 vklop"
