"Member"	"ID"	"Name"	"Desc"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"0x0022 0x00000001"	"0x1100"	"IP-Config"	"IP-Config"	"IP-Config"	"IP-Config"	"IP-Config"	"IP-Config"	"IP-Config"	"IP-Config"	
"0x0032 0x00000001"	"0x1100"	"CSL-Config"	"CSL-Config"	"CSL-Config"	"CSL-Config"	"CSL-Config"	"CSL-Config"	"CSL-Config"	"CSL-Config"	
"0x0032 0x00000001"	"0x1101"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	"Disabled*Deprecated*Enabled"	
"0x0032 0x00000001"	"0x1200"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	"OK*-*IPErr*ServerErr*InternalErr*ResponseErr"	
"0x0032 0x00000001"	"0x1201"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	"-*IPErr*Init*InitErr*Reg*RegErr*Description*Connected"	
"0x0032 0x00000001"	"0x1202"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	"Wait*Yes*No"	
"0x0032 0x00000001"	"0x1102"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	"Domain#Time#SelfSigned#RootCA"	
"0x0032 0x00000001"	"0x1103"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	"RTA#TLS1.3#EnhancedLog"	
"0x0038 0x00000001"	"0x1100"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	"WLAN-Config"	
"0x0038 0x00000001"	"0x1200"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	"Off*Station*AccessPoint*noDevice*notConnected"	
