"0x2300 'Room2\Room2.VlvCtl.SwiOn'"	"0x8100"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	"Room2.VlvCtl.SwiOn"	
"0x2300 'Room2\Room2.VlvCtl.SwiOff'"	"0x8100"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	"Room2.VlvCtl.SwiOff"	
"0x2305 'Room2\Room2.VlvCtl.Ctl'"	"0x8100"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	"Room2.VlvCtl.Ctl"	
"0x2304 'Room2\Room2.Vlv.RefIO'"	"0x8100"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	"Room2.Vlv.RefIO"	
"0x2206 'Room2\Room2.Vlv.Cmd'"	"0x8100"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	"Room2.Vlv.Cmd"	
"0x2310 'Room2\Room2.Vlv.Pos'"	"0x8100"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	"Room2.Vlv.Pos"	
"0x2304 'Room2\Room2.Ime'"	"0x8100"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	"Room2.Ime"	
"0x2300 'Room3\Room3.TR.SpTiCom'"	"0x8100"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	"Room3.TR.SpTiCom"	
"0x2203 'Room3\Room3.TR.Val'"	"0x8100"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	"Room3.TR.Val"	
"0x2304 'Room3\Room3.CndMon.RefIO'"	"0x8100"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	"Room3.CndMon.RefIO"	
"0x2204 'Room3\Room3.CndMon.Val'"	"0x8100"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	"Room3.CndMon.Val"	
"0x2302 'Room3\Room3.OpModMan'"	"0x8100"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	"Room3.OpModMan"	
"0x2302 'Room3\Room3.ShedSel'"	"0x8100"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	"Room3.ShedSel"	
"0x2300 'Room3\Room3.SpTRPrt'"	"0x8100"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	"Room3.SpTRPrt"	
"0x2300 'Room3\Room3.SpTREco'"	"0x8100"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	"Room3.SpTREco"	
"0x2300 'Room3\Room3.SpTRCmf'"	"0x8100"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	"Room3.SpTRCmf"	
"0x2202 'Room3\Room3.PltMod'"	"0x8100"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	"Room3.PltMod"	
"0x2202 'Room3\Room3.VlvCtl.AggrMod'"	"0x8100"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	"Room3.VlvCtl.AggrMod"	
"0x2300 'Room3\Room3.VlvCtl.Low'"	"0x8100"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	"Room3.VlvCtl.Low"	
"0x2300 'Room3\Room3.VlvCtl.High'"	"0x8100"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	"Room3.VlvCtl.High"	
"0x2300 'Room3\Room3.VlvCtl.TiDly'"	"0x8100"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	"Room3.VlvCtl.TiDly"	
"0x2300 'Room3\Room3.VlvCtl.SwiOn'"	"0x8100"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	"Room3.VlvCtl.SwiOn"	
"0x2300 'Room3\Room3.VlvCtl.SwiOff'"	"0x8100"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	"Room3.VlvCtl.SwiOff"	
"0x2305 'Room3\Room3.VlvCtl.Ctl'"	"0x8100"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	"Room3.VlvCtl.Ctl"	
"0x2304 'Room3\Room3.Vlv.RefIO'"	"0x8100"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	"Room3.Vlv.RefIO"	
"0x2206 'Room3\Room3.Vlv.Cmd'"	"0x8100"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	"Room3.Vlv.Cmd"	
"0x2310 'Room3\Room3.Vlv.Pos'"	"0x8100"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	"Room3.Vlv.Pos"	
"0x2304 'Room3\Room3.Ime'"	"0x8100"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	"Room3.Ime"	
"0x2300 'Room4\Room4.TR.SpTiCom'"	"0x8100"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	"Room4.TR.SpTiCom"	
